id,name,kingdom,cost,rating,武力_基础,武力_成长,智力_基础,智力_成长,统率_基础,统率_成长,速度_基础,速度_成长,政治_基础,政治_成长,魅力_基础,魅力_成长,骑兵,盾兵,弓兵,枪兵,器械,自带战法名称,自带战法类型,自带战法品质,自带战法发动概率,自带战法效果,传承战法名称,传承战法类型,传承战法品质,传承战法发动概率,传承战法效果
wei1,SP荀彧,魏,7,5,14,0.34,95,2.63,62,1.84,61,1.02,98,2.7,93,2.12,S,B,A,A,C,机鉴先识,指挥,S,100%,准备回合使我军群体（2-3人）获得2次警戒，随后每回合有21%概率（受智力影响）使我军群体（2-3人）获得1次警戒（持续3回合，可重复获得4次）：受到的伤害超过自身可携带最大兵力的6%时（最低100兵力），使该次伤害降低20%（受智力影响）并消耗一次警戒：自身为主将时，战斗前2回合，使我军全体受到缴械、计穷、混乱、晨慑状态时，有37.5％概率同时施加给敌军单体，每回合每人最多生效一次,,,,,
wei2,贾诩,魏,7,5,48,0.23,97,2.65,88,1.77,43,0.62,0,0,0,0,S,A,S,C,A,神机莫测,主动,S,35%,使敌军单体混乱2回合，并对自身外的敌我全体依次判定：若未混乱则有25%概率使其混乱2回合；友军已混乱时，解除其负面状态（自身为主将时，提高其6%造成伤害，受智力影响，持续2回合）；敌军已混乱时，对其造成谋略攻击（伤害率87.5％，受智力影响）,,,,,
wei3,司马懿,魏,7,5,63,0.42,98,2.67,98,2.06,39,0.82,0,0,0,0,A,S,A,S,A,鹰视狼顾,指挥,S,100%,战斗前4回合，每回合有80%概率使自身获得3.5%攻心或奇谋几率（每种效果最多叠加2次）；第5回合起，每回合有80%概率对1-2个敌军单体造成谋略伤害（伤害率77%，受智力影响）；自身为主将时，获得8％奇谋几率,,,,,
wei4,曹操,魏,7,5,72,1.33,91,1.94,99,2.7,64,1.18,0,0,0,0,S,S,A,A,B,乱世奸雄,指挥,S,100%,战斗中，使友军群体（2人）造成的兵刃伤害和谋略伤害提高8%（受智力影响），自己受到的兵刃伤害和谋略伤害降低9%（受智力影响），如果自己为主将，副将造成伤害时，会为主将恢复其伤害量10%的兵力,梦中弑臣,指挥,S,100%,战斗前2回合，如果自己为主将，则使随机副将为自己分担20%伤害。战斗第3回合起，自己行动时如果有负面状态，则获得25%概率反击状态（伤害率150%），直到战斗结束
wei5,张辽,魏,7,5,92,2.33,78,1.29,95,1.32,78,1.49,0,0,0,0,S,A,B,S,B,陷阵突袭,被动,S,100%,战斗中，使自己的普道攻击目标有34%几率锁定为敌军主将，自身突击战法的发动几率提高7.5%井使自己成功发动突击战法后，对目标额外发动一次兵刃攻击（伤害率47.5%；自身为主将时，获得3%倒戈,,,,,
wei6,SP乐进,魏,6,5,85,2.06,56,0.72,80,1.77,68,1.17,51,0.31,65,0.31,S,A,B,S,S,同战身先,主动,S,70%,使我军全体获得1次抵御，并使我军随机武将1回合内受到普通攻击后有17.5%一35%概率（受统率影响）对敌军单体造成一次兵刃伤害（伤害率10%一20%，可触发由普通攻击触发的效果）；该战法每次发动后发动率降低10%但自身速度提升10%一20%,,,,,
wei7,SP典韦,魏,6,5,95,2.62,35,0.19,72,1.83,72,1.25,29,0.1,58,0.12,B,S,C,A,C,舍身救主,被动,S,100%,战斗中，自身受到伤害降低90%，每次受到伤害后，该效果降低3%；该效果降低5次后，自身受到伤害时有35%概率（受统率影响）视为2次（可额外触发反击、急救等效果）,,,,,
wei8,SP许褚,魏,6,5,96,2.65,36,0.37,74,1.51,70,1.09,20,0.1,59,0.54,A,S,B,S,C,虎侯,指挥,S,100%,战斗中，友军群体发动或受到普通攻击时，自身有22.5%-45%概率使我军全体统率提升7.5-15.点，可叠加5次，持续2回合，并对敌军单体造成兵刃伤害（伤害率33%-66％）,,,,,
wei9,SP曹真,魏,6,5,74,1.18,70,1.82,81,2.28,56,0.8,72,0.46,88,0.43,S,S,B,A,C,渊然难测,指挥,S,100%,战斗中，我军群体（2-3人）受到普通攻击时，有25%一50%概率（受统率影响，自身为主将时，基础概率提升至30%-60%）使伤害来源受到伤害提升3%一6%（受统率影响），可叠加3次；首回合触发时，若伤害来源武将武力高于智力，则使其进入缴械状态，否则使其进入计穷状态，持续2回合,,,,,
wei10,SP刘晔,魏,6,5,32,0.34,92,2.45,56,1.71,34,0.47,73,1.35,69,0.41,S,C,S,B,S,计定谋决,被动,S,100%,偷取敌方智力最高武将12-24点智力（受智力影响）；且每当自身试图发动主动战法前，恢复我军单体一定兵力（治疗率32%-64%，受智力影响）,,,,,
wei11,SP庞德,魏,6,5,94,2.31,75,0.99,89,1.76,35,0.41,44,0.27,70,0.5,A,B,S,B,B,死战不退,被动,S,100%,战斗中，使自己免疫混乱；自身受到伤害时，有80%概率获得一层蓄威效果，可积攒20层；普攻后，有50%概率（受武力影响）消耗一层蓄成对敌军单体造成一次兵刃伤害（伤害率65%一130%），触发后可继续判定，每次触发后几率降低8%，每次普攻后最多触发5次,,,,,
wei12,SP郭嘉,魏,6,5,15,0.23,96,2.64,88,1.81,83,1.03,0,0,0,0,S,A,A,B,B,经天纬地,指挥,S,100%,战斗中，我军全体发动主动战法及突击战法时，自身有35％概率（受智力影响）会对敌军全体发动谋略攻击（伤害率50％，受智力影响），若由自身触发，则额外有50%概率使我军群体（2人）获得5%攻心（造成谋略伤害时，恢复自身基于伤害量的一定兵力），持续2回合，可叠加3次攻心值；自身为主将时，攻心效果提高至10％,,,,,
wei13,马钧,魏,6,5,17,0.32,71,1.73,22,1.01,35,0.99,60,1.34,80,2.11,C,C,C,C,S,天下名巧,内政,S,,武将委任为使臣时，高阶奖励几率提升4.5%-19%,,,,,
wei14,王异,魏,6,5,51,0.41,82,2.05,73,1.71,49,0.59,68,0.87,73,1.66,A,B,S,C,B,至柔动刚,指挥,S,100%,战斗中，敌我全体普通攻击伤害降低17.5%一35%，自身受到伤害时有25%一50%概率（受智力影响）偷取伤害来源5-10点属性（智力、统率、速度中的随机一种，受智力影响，可叠加，持续5回合）；我军全体普通攻击后，自身有25%-50%概率（受智力影响）对敌军单体造成一次谋略伤害（伤害率53%一106％，受智力影响）,,,,,
wei15,陈群,魏,6,5,14,0.87,75,1.36,32,0.94,54,0.75,96,2.62,73,0.99,C,B,B,C,C,清流雅望,内政,S,,武将委任为冶铁官时，铁矿产量提升1.5%,,,,,
wei16,曹植,魏,6,5,22,0.72,81,1.78,33,1.01,35,0.99,70,1.67,80,2.3,B,B,C,C,B,七步成诗,内政,S,,武将委任为锻造官时，提升锻造出高阶装备的几率4.5%,,,,,
wei17,许褚,魏,6,5,96,2.65,36,0.37,74,1.51,70,1.09,0,0,0,0,A,S,B,S,C,虎痴,被动,S,100%,战斗中，每回合选择一名敌军单体，自身发动的所有攻击都会锁定该目标，对其造成的伤害提高16.5%，如果击败目标会使自身获得破阵状态（造成伤害时无视目标的统率和智力），直到战斗结束,,,,,
wei18,张郃,魏,6,5,89,2.07,73,0.94,89,1.42,31,0.6,0,0,0,0,A,S,B,S,A,大戟士-自带,兵种,S,100%,将枪兵进阶为横冲直撞的大戟士：我军全体武力提高7点，进行普通攻击时，有35%儿率对敌军单体造成兵刃伤害（伤害率61%）；若张郃统领，则发动几率提高为40%,,,,,
wei19,郝昭,魏,6,5,79,1.65,78,1.67,86,1.95,47,0.61,0,0,0,0,B,S,A,B,S,金城汤池,指挥,S,100%,无法发动普通攻击（无法被净化），每2回合轮流执行：治疗我军群体（2人，治疗率49％，受智力影响）；对敌军群体造成兵刃伤害（伤害率51%）及灼烧状态，每回合持续造成伤害（伤害率36%，受智力影响），持续1回合,,,,,
wei20,曹仁,魏,6,5,86,1.26,62,1.02,89,2.31,23,0.43,0,0,0,0,A,S,B,A,C,固若金汤,主动,S,55%,使自己获得洞察（免疫所有控制效果）状态并嘲讽（强迫目标普通攻击自己）敌军全体，同时提高自身75统率，持续2回合,,,,,
wei21,甄姬,魏,6,5,4,0.31,72,1.07,35,0.87,41,0.46,66,1.22,94,2.66,C,C,B,C,C,花容月貌,内政,S,,武将委任为练兵使时，练兵获得经验提升3%,,,,,
wei22,程昱,魏,6,5,49,0.41,90,2.32,70,1.36,44,0.59,0,0,0,0,S,C,A,C,A,十面埋伏,主动,S,35%,对有负面状态的敌军造成谋略攻击（伤害率48%，受智力影响），随后对敌军群体（2人）施加禁疗（无法恢复兵力）及叛逃状态，每回合持续造成伤害（伤害率37%，受武力或智力最高一项影响，无视防御），持续2回合,,,,,
wei23,荀彧,魏,6,5,14,0.54,95,2.38,62,0.74,61,0.41,98,2.7,93,2.12,C,C,B,C,C,王佐之才,内政,S,,提升武将36政治,,,,,
wei24,荀攸,魏,6,5,26,0.18,94,2.36,73,1.75,49,0.68,0,0,0,0,S,B,S,C,B,十二奇策,主动,S,35%,移除敌军群体（1-2）人增益状态，提高我军全体1回合3%主动战法发动几率（受智力影响）并使其下次发动主动战法后，对敌军单体造成谋略伤害（伤害率51％，受智力影响）,,,,,
